epoch,precision,recall,ndcg
1,0.0044,0.044,0.024552583917123633
2,0.004,0.04,0.02341864165291205
4,0.004200000000000001,0.042,0.022266807522339914
6,0.006,0.06,0.03533074823271616
8,0.0062,0.062,0.03761595749714273
10,0.0064,0.064,0.028705792797513063
